IONA,54384904463257541206705103592586985353
WESTERN CAROLINA,81076110691506328360529683442751604961
COLORADO,224117380886230398120668509814038641134
TROY,224563711480437042191589563258925896369
GRAND CANYON,138475809361967196542026098836000750422
UCLA,51455970689756357069855855368907343444
VIRGINIA,241636387410416780650371102117065664292
MISS STATE,117441158816934501336216069955590809857
ILLINOIS,304535049492519961316894797035612238591
MIAMI (OHIO),295999537675356340334510077564861899490
UMBC,173651171463507878707890509968192742727
MISSOURI,103431725115737716371439920259354842978
MONTANA STATE,60345877519447159826975824729903321471
ST. THOMAS (MINN.),26772498784731349941429078121924398557
WINTHROP,52779793248061051074465198591462712881
ST. PETER'S,112632134502200602287156378584580848315
MARYLAND-EASTERN SHORE,10488592706016921581316303146127559802
FAIRLEIGH DICKINSON,272884445727848646146161680235733912296
RHODE ISLAND,11907074576357890612431162704431936362
CSUN,271254744835947536331763308725915874095
UT-RIO GRANDE VALLEY,225752986034298708639194557588641264146
NORTH DAKOTA STATE,165906693341049073960192470341076047302
NICHOLLS STATE,35653491053263337030635218857499306128
CORNELL,110230244875981114328194172241320137004
NORTHERN COLORADO,243021027608085311780057464445530200871
SAMFORD,177977730660034680453931520217068470514
UC DAVIS,69276008735286641134082209372673563919
COLUMBIA,150429049647515018558547734702768689881
SOUTH FLORIDA,3439306267957149205447240305380418465
DEPAUL,7095534491459072945540059959671835244
DELAWARE STATE,16796834140476914650228190870939534166
DARTMOUTH,205889545024682806340036658190923558336
USC UPSTATE,288124031819676813853149886136361838058
IDAHO,276036705082858437075902426567641507143
HOWARD,303854476094356666805847440416930699707
KANSAS STATE,252136564280836598800449632517829944895
NJIT,110514091392776659316500301003190282443
SOUTHERN ILLINOIS,172484812368068925568916757114200405188
SAINT LOUIS,140984673630793255961412661088449525142
BUFFALO,300573655012043143203752443886875215651
EAST TENN. ST.,314950699129952301028176077686106670231
MICHIGAN STATE,196571153002551230133784106154786811691
WESTERN KENTUCKY,327407371440866121814163890846405816732
HAMPTON,200694491865169192644480466977099954111
MICHIGAN,153262244952208851340434208395070553540
SOUTH DAKOTA ST.,24280711212632225716708303444651910941
SOUTHERN UTAH,158925238093779490770906543050662072308
WYOMING,250587387400085126265565876726403264404
SOUTH ALABAMA,79334026918119290613307649448430647751
UC IRVINE,54346718986549540514962116915162760436
EASTERN WASHINGTON,322317056734226295860049952864855282055
BUTLER,250125974214549988757088634172056350614
SIU EDWARDSVILLE,14531648905881097125293803391836524184
EASTERN KENTUCKY,152405347703984773989319125003610837070
MILWAUKEE,75889006823836907114547867082757310644
PITTSBURGH,122339907286880325680663674192669395002
EVANSVILLE,44013376278613340422594260199656712801
CHICAGO STATE,243484106639744150420518344461312154752
BROWN,71478285928956018767054964836640072865
FIU,111597363620338161607059042300512601318
EASTERN ILLINOIS,69983623274927994487558202687320930070
DRAKE,253891420675440436120140436677700109276
RICE,274669662906710307609171170640361896097
SEATTLE U.,86934014538253437006605304378916166605
WASHINGTON ST.,91912101978666001676695632158648812306
SYRACUSE,109773845961357372637852523936136503920
SAN JOSE ST.,207261081537558043196305040011135818506
OAKLAND,107803389933884242226547601378480354517
WAKE FOREST,326089485433612626733933352302521614065
ARKANSAS STATE,51621372922551330704419046351185107623
SE LOUISIANA,174618023171154391436533588910423655169
NEW MEXICO,266300240444694933317057169582440691786
MIAMI (FLA.),84386480087108463293460777193720947173
UTAH STATE,316022414773428184437107013255386819869
NOTRE DAME,232779504826947971131826690128754619962
OKLAHOMA STATE,218849578847767281414664389420524139655
KANSAS,241939169048963670440454567612807279510
GEORGE MASON,331714588788757728528595530189463862743
CHARLOTTE,184742782654897886372979780578914757998
CENTRAL CONNECTICUT,49489422326853679219172978335900667549
NAVY,273169024026582549915272521565451567256
PRAIRIE VIEW,119681064537356858175801387264081237124
IOWA STATE,277549195609457688662767023783765908717
ARMY WEST POINT,194372648636986914491935291694130038014
DAVIDSON,249399128245811308846682084956833217006
FLORIDA A&M,202195875285300321572585964243637693970
PENN,275836434629865418070661992080396387173
CHARLESTON SOUTHERN,7349083329727537856085606634338948293
MARQUETTE,50174643210219881997335493214009999636
LAMAR,83588153021278421077377669582103453113
TEXAS A&M-CC,211363486774605885549551023289844288184
ST. JOSEPH'S (PA.),331178317378272269718130573289444072894
BOISE STATE,179734795059175039088649928843926218195
VERMONT,65870008223171878788545391529989370421
GARDNER-WEBB,95509943233012647238244909081249473334
GEORGIA TECH,174631483057042752900614721770561996179
MONTANA,257997117092846877992741565049459504892
BRYANT,148990178380383237367590284611861723457
UMASS AMHERST,208489195565361019775507418061651964331
WAGNER,76467694786102584577957434118206102906
N.C. CENTRAL,279416658636676510060834403763227827090
TENNESSEE ST.,278664654516429869820498573305146177303
ILLINOIS-CHICAGO,87811767384271035577482399219584058373
LOUISIANA TECH,289174193332971832553079042385535164382
UC SANTA BARBARA,16796540812561200582269019322929146228
WESTERN ILLINOIS,307812769787804593641091549854797522148
UC RIVERSIDE,248992374374291542813349279850808983077
STONY BROOK,279019431847417157155020867107155119207
PROVIDENCE,218932861206867077618366736308932874554
WOFFORD,18133630813179515349629514772509004648
ST. FRANCIS (N.Y.),261626412202728957818273508128770150783
BUCKNELL,182211365636571978709393012120208873302
CSU BAKERSFIELD,102609299908548297608652418360263382630
CITADEL,311616798673241373590102923419581127394
SACRED HEART,94559469015954467770677209259413776767
XAVIER (OHIO),133207267561533456794520683210076929823
PURDUE FORT WAYNE,163323784351763436563192372692976610153
VILLANOVA,71744724577072733159675903667936914636
FURMAN,9986298984381419832283223034677048598
